CustomerID,Name,Email,Phone,Country,AccountCreationDate
67,Wayne,moliver@gilbert.com,0153457221277,Canada,2023-05-06
68,Sarah,,7606961049365,India,2024-09-08
69,Michael,kparker@brown-jones.info,1687505359125,Australia,2022-12-19
70,Amanda,,7535670197723,Australia,2025-07-13
71,Matthew,acoleman@rodriguez.com,7662843659238,USA,2024-02-14
72,Anthony,sgolden@hotmail.com,7122846125907,Canada,2024-10-20
73,Mark,eric78@craig.biz,5918494528728,Canada,2023-08-28
74,William,iedwards@torres.info,8773275595141,India,2025-06-10
75,Andrea,dbowman@burton.com,7629972949792,USA,2025-09-03
76,Adam,xaustin@lewis.info,7538630521899,India,2024-11-16
77,Anthony,jenniferwilliams@gmail.com,2696176316073,UK,2023-02-09
78,Justin,,,India,2025-08-07
79,Sabrina,kirbymichael@love.com,2382666257589,UK,2025-03-12
80,Patricia,danny89@delgado-rodriguez.net,,India,2023-01-22
81,Colleen,ashleyhernandez@watson.net,5375169271268,USA,2024-04-16
82,Kevin,houstonjamie@wilson.org,6013534686962,Australia,2024-06-02
83,Rachel,ocollier@yahoo.com,6404912335441,Canada,2024-03-13
84,Kristen,,7048060141360,India,2023-09-11
85,Jennifer,george37@carlson.com,8524371312570,Australia,2025-02-27
86,Michelle,qyoung@gmail.com,0981788937177,UK,2023-12-27
87,James,hgonzalez@gmail.com,1554470091019,India,2024-10-05
88,Roberto,ymoore@hotmail.com,1550392740422,UK,2024-10-06
89,Monique,,4097383404808,Australia,2024-08-04
90,Brianna,ashley44@wolf.net,1989400086102,Canada,2022-10-15
91,Elizabeth,jennifer50@lopez.com,7113499204609,India,2022-12-22
92,Leslie,rmurillo@yahoo.com,9622585331237,UK,2023-05-16
93,Laura,adamfriedman@strickland-conley.com,1212701665898,Australia,2023-07-03
94,Ryan,,1139203177039,India,2022-10-05
95,Adam,amberjohnson@gray-conner.com,7509916000969,Canada,2023-05-21
96,Douglas,penasteven@gmail.com,,Canada,2023-05-04
97,Philip,davisaaron@yahoo.com,4934736715405,India,2024-08-02
98,Melanie,csmith@gmail.com,4501989510009,India,2024-01-29
99,Michael,,8306153182213,Canada,2025-03-04
100,Mario,richardcampbell@vargas-rodriguez.info,6495136981082,Canada,2023-04-16
